"StoreName";"StoreType";"StoreOpeningDate";"Address";"City";"State";"Country";"Region";"Manager Name"
"The Blissful Vault";"SMB";"5/26/2004";"USNS Graves FPO AE 54802";"Paulview";"Iowa";"United States";"Midwest";"Tyler"
"The Timeless Deals";"Exclusive";"3/1/2020";"016 Brooke Roads New Charlesshire  NC 81238";"Lake Daniel";"New Hampshire";"United States";"Northeast";"Tiffany"
"The Golden Hub";"Outlet Stores";"10/20/2019";"40587 Gerald Port Port Wendy  ID 67123";"Jenniferberg";"Louisiana";"United States";"South";"Christopher"
"The Cozy Oasis";"MBO";"3/10/2021";"Unit 5323 Box 0849 DPO AP 47886";"North Charlesland";"Kentucky";"United States";"South";"Evan"
"The Unique Marvels";"MBO";"3/28/2013";"568 Short Mill Heathfort  OK 96345";"South Luketown";"Maryland";"United States";"South";"Robert"
"The Stylish Campany";"Exclusive";"3/13/2025";"25363 Jade View Andrewchester  MS 77225";"Banksstad";"Pennsylvania";"United States";"Northeast";"Devin"
"The Stylish Elegance";"SMB";"12/31/2019";"912 Amy Bridge Foxborough  AZ 46396";"New Jennifer";"Tennessee";"United States";"South";"Crystal"
"The Radiant Cabinet";"Exclusive";"4/11/2009";"Unit 3637 Box 0619 DPO AP 28494";"South Alexa";"Oklahoma";"United States";"South";"Michael"
"The Unique Campany";"MBO";"12/20/2011";"148 John Parks East Justin  FM 63642";"North Janiceton";"Maine";"United States";"Northeast";"Russell"
"The Stylish Emporium";"SMB";"11/25/2005";"3681 Ortiz Islands New Patrick  FL 39540";"Justintown";"New York";"United States";"Northeast";"Kristen"
"The Serene Nook";"Exclusive";"9/21/2007";"USNS Russell FPO AP 59330";"Wheelertown";"Missouri";"United States";"Midwest";"Garrett"
"The Shimmer Boutique";"SMB";"12/25/1977";"6821 Frank Centers Apt. 675 Brittneybury  RI 80780";"Austinmouth";"Iowa";"United States";"Midwest";"Mark"
"The Blissful Enclave ";"SMB";"8/26/1981";"Unit 6248 Box 2337 DPO AE 38197";"New Luke";"Delaware";"United States";"South";"Christopher"
"The Happy Closet";"MBO";"10/14/2025";"00003 William Stravenue West Brendahaven  GA 79705";"Port Dylan";"Michigan";"United States";"Midwest";"Mason"
"The Shimmer & More";"SMB";"5/27/1998";"USS Kim FPO AE 53322";"East Craig";"New Mexico";"United States";"West";"Corey"
"The Whimsy Creations";"Outlet Stores";"9/23/1980";"42042 Joshua Wells Suite 073 Vegaport  DE 07804";"Port Elizabeth";"North Carolina";"United States";"South";"Timothy"
"The Happy Avenue";"Exclusive";"7/13/1993";"Unit 3957 Box 2819 DPO AE 09761";"Michaelchester";"Idaho";"United States";"West";"Rachel"
"The Majestic Elegance";"MBO";"9/15/1970";"515 Mary Gateway Apt. 599 North Deborahburgh  CA 12989";"Wilsonmouth";"South Dakota";"United States";"Midwest";"Kelly"
"The Happy Avenue";"SMB";"8/27/1995";"97894 Brown Skyway East Anthony  WI 76189";"Theresabury";"Oregon";"United States";"West";"Leslie"
"The Golden Deals";"Outlet Stores";"5/16/1976";"575 Tiffany Alley Port Andrealand  PW 64696";"Holderberg";"Iowa";"United States";"Midwest";"Jessica"
"The Purely Shoppe";"MBO";"6/1/1995";"869 Ramirez Springs Williamsside  WI 09547";"Robinsonfort";"Arizona";"United States";"West";"Daniel"
"The Elegant Avenue";"SMB";"5/2/1991";"8882 David Corners Apt. 015 East Andrew  VA 18034";"Austinville";"Iowa";"United States";"Midwest";"Tom"
"The Eclectic Corner";"MBO";"1/13/1973";"USNS Beck FPO AP 54378";"West Davidtown";"Nevada";"United States";"West";"Robert"
"The Whimsy Vault";"MBO";"7/6/1975";"766 Wilson Landing Apt. 141 South Chelsea  AK 81704";"Port Brandon";"Nevada";"United States";"West";"John"
"The Polished Find ";"MBO";"3/9/2002";"593 Justin Turnpike Apt. 641 New Richardborough  NH 69768";"New Trevorborough";"Kansas";"United States";"Midwest";"Jose"
"The Cozy Essentials";"MBO";"12/21/1997";"PSC 2546  Box 2659 APO AP 32770";"Port Jacob";"Wyoming";"United States";"West";"Vickie"
"The Enchanted Shoppe";"SMB";"11/26/2008";"43156 Miller Square Apt. 972 South Patrickburgh  IA 46539";"Josephberg";"Arkansas";"United States";"South";"Ashley"
"The Stylish Reflection";"Exclusive";"1/16/1989";"675 James Ferry Suite 722 Youngberg  CT 62926";"North Matthew";"Delaware";"United States";"South";"Carly"
"The Enchanted Nook";"Outlet Stores";"1/3/1992";"67701 Smith Canyon North Ethan  IA 83777";"New Sabrinafort";"New Mexico";"United States";"West";"Anthony"
"The Elegant Products";"MBO";"3/22/2013";"593 Sue Shore Suite 455 Nelsonbury  VT 82369";"Lake Maria";"Illinois";"United States";"Midwest";"Kevin"
"The Chic Elegance";"Outlet Stores";"4/17/1989";"3395 Leon Island South Matthewbury  MI 60475";"Manningmouth";"Utah";"United States";"West";"Denise"
"The Blissful Avenue";"Outlet Stores";"4/2/2011";"9416 Robert Skyway Stoutview  MN 17765";"Sweeneyton";"New Mexico";"United States";"West";"Lori"
"The Vintage Reflection";"Exclusive";"6/19/1991";"6338 Natasha Corner Apt. 751 Kellyland  MD 12213";"North Christopherburgh";"Tennessee";"United States";"South";"Diane"
"The Majestic Products";"MBO";"2/15/2016";"970 Snyder Burg Normanberg  NE 48568";"Murphyland";"Indiana";"United States";"Midwest";"Jacqueline"
"The Vintage Find ";"Outlet Stores";"2/23/2016";"4038 Matthew Courts Suite 862 Kristinberg  DE 17901";"Lucasstad";"Pennsylvania";"United States";"Northeast";"Lawrence"
"The Shimmer Haven";"Outlet Stores";"4/2/2007";"4379 Marilyn Land Scottton  OH 24408";"New Shawn";"West Virginia";"United States";"South";"Jacob"
"The Luxe Reflection";"MBO";"12/9/2023";"6511 Anne Plains New Mark  SD 78912";"Douglasburgh";"Hawaii";"United States";"West";"Abigail"
"The Luxe Campany";"Exclusive";"8/23/1986";"041 Richard Shoal Apt. 025 Youngstad  MP 56602";"Townsendview";"Alabama";"United States";"South";"Joanna"
"The Rustic Shop";"Exclusive";"3/27/1981";"483 Kevin Alley Sherichester  SC 54167";"Feliciachester";"Mississippi";"United States";"South";"Angela"
"The Golden & More";"Exclusive";"8/25/1996";"406 Rice Oval Apt. 688 Rachelstad  VT 00553";"Port Michael";"South Dakota";"United States";"Midwest";"Mark"
"The Happy Haven";"MBO";"6/23/1975";"593 Johnson Throughway Carlsonmouth  LA 28699";"Martintown";"Rhode Island";"United States";"Northeast";"Brian"
"The Trendy Find ";"Exclusive";"11/5/1972";"97811 Todd Trafficway Lake Donaldchester  CT 35471";"Lake Stephen";"Washington";"United States";"West";"Ashley"
"The Elegant Find ";"Outlet Stores";"9/22/2011";"47492 Cody Plains Port Jessica  WV 58851";"South Alexisburgh";"Massachusetts";"United States";"Northeast";"Drew"
"The Radiant Find ";"Outlet Stores";"5/3/1980";"811 Myers Creek Suite 474 South Marissa  FM 56460";"East David";"Mississippi";"United States";"South";"Kathleen"
"The Unique Closet";"SMB";"10/1/2023";"851 Donald Cliff Suite 081 Harrisfurt  MT 10486";"Jasminechester";"Massachusetts";"United States";"Northeast";"Sabrina"
"The Shimmer Reflection";"Outlet Stores";"2/10/2020";"702 Diana Estate West Kaylaton  ND 86638";"Jacksonside";"Arizona";"United States";"West";"Joseph"
"The Trendy Hub";"SMB";"11/11/2002";"918 Jessica Center New Jennifer  NM 97795";"East Timothyland";"South Carolina";"United States";"South";"Sean"
"The Artisan Hub";"MBO";"10/30/2019";"752 Rogers Landing Suite 173 East Alan  RI 25239";"Ramosbury";"Florida";"United States";"South";"Billy"
"The Happy Boutique";"Outlet Stores";"6/17/2004";"49187 Jacob Trail North Shane  MH 32065";"Galvantown";"Wyoming";"United States";"West";"David"
"The Radiant Emporium";"SMB";"7/8/2025";"611 Diane Village Suite 787 Lake Kennethton  WV 06850";"New Ryan";"Washington";"United States";"West";"Dawn"
"The Majestic Find ";"SMB";"4/14/1971";"01456 Wallace Summit South Shellyville  RI 35775";"Jacksontown";"Oregon";"United States";"West";"Joshua"
"The Stylish Marvels";"SMB";"2/6/2017";"PSC 6594  Box 3464 APO AE 11652";"New Randyside";"North Dakota";"United States";"Midwest";"Jason"
"The Chic Closet";"Exclusive";"6/17/2019";"6207 Loretta Turnpike Suite 576 South Stevenmouth  PR 14438";"North Shelleyburgh";"Connecticut";"United States";"Northeast";"Tommy"
"The Classy Nook";"MBO";"5/9/1973";"33191 Tina Common Apt. 439 Crawfordshire  NE 08738";"North Nicholasburgh";"Wyoming";"United States";"West";"Elizabeth"
"The Cozy Corner";"SMB";"10/30/2019";"01363 Curtis Station West Joseside  VT 32227";"Leeport";"South Carolina";"United States";"South";"Michael"
"The Harmony Treasures";"Exclusive";"6/17/2014";"419 Salinas Divide Apt. 652 Greenfort  KS 94836";"Lake Sharon";"North Dakota";"United States";"Midwest";"Victor"
"The Rustic Shoppe";"Outlet Stores";"4/15/1973";"3236 David Mountains Suite 123 New Steven  MT 02130";"South Tinamouth";"Ohio";"United States";"Midwest";"Cameron"
"The Happy Oasis";"Outlet Stores";"10/26/1998";"66636 Andrew Green Port Brandon  IL 46610";"East Brandy";"Kentucky";"United States";"South";"Robert"
"The Elegant Deals";"Exclusive";"12/13/1981";"70441 Nicholson Terrace Suite 457 Kristatown  MO 53482";"West Lisashire";"Pennsylvania";"United States";"Northeast";"Roy"
"The Radiant Emporium";"MBO";"6/22/2018";"6240 Brandon Street Suite 310 Port Kristin  ME 81724";"East Grant";"Virginia";"United States";"South";"Robert"
"The Dapper Avenue";"MBO";"11/4/2024";"Unit 1309 Box 5568 DPO AA 08033";"South Stephanie";"Iowa";"United States";"Midwest";"Brian"
"The Timeless Corner";"SMB";"7/24/2016";"69135 Greene Parkways New Kathy  PA 99586";"Port Ashleyberg";"California";"United States";"West";"Shelly"
"The Classy Essentials";"Exclusive";"3/13/2002";"98653 Bennett Route Apt. 084 Margaretborough  VT 73192";"East Kelly";"Hawaii";"United States";"West";"Amber"
"The Rustic Shop";"Exclusive";"7/16/1984";"40760 Allen Harbors East Zachary  ID 29588";"North Angela";"Wisconsin";"United States";"Midwest";"Lauren"
"The Shimmer Hub";"MBO";"5/28/1997";"14444 Griffith Field Apt. 885 Watsonburgh  MA 47752";"West Lisa";"Indiana";"United States";"Midwest";"Alicia"
"The Chic Closet";"SMB";"5/13/1993";"161 Hammond Pike Apt. 632 Thomasberg  IN 53686";"Wigginsside";"Alabama";"United States";"South";"Alisha"
"The Trendy Vault";"MBO";"11/7/1996";"27291 Duncan Spring Apt. 525 Timothymouth  MA 75737";"Reidville";"Florida";"United States";"South";"Crystal"
"The Polished Boutique";"Outlet Stores";"3/8/1990";"86365 Boyer Extensions Apt. 515 North Alexisland  NJ 34428";"Davenportmouth";"New Hampshire";"United States";"Northeast";"Jeffrey"
"The Timeless Find ";"Outlet Stores";"3/5/2000";"USNS Holden FPO AE 88855";"Torresport";"South Dakota";"United States";"Midwest";"Albert"
"The Purely Enclave ";"MBO";"4/15/2022";"220 Steven Vista Suite 868 Lisastad  PA 62390";"Greerland";"West Virginia";"United States";"South";"Alex"
"The Whimsy Products";"Outlet Stores";"2/3/1973";"70024 Chaney Trace Suite 403 Johnsonfort  AR 03938";"Edwintown";"Michigan";"United States";"Midwest";"Adam"
"The Harmony Avenue";"MBO";"7/4/2016";"621 Amanda Highway Suite 022 Port Sharon  MI 78666";"Matthewfurt";"Wyoming";"United States";"West";"Kevin"
"The Chic Hub";"MBO";"6/9/1987";"18181 Erica Summit Garciastad  AZ 01917";"East Julieville";"Tennessee";"United States";"South";"Elizabeth"
"The Happy Nook";"Exclusive";"7/23/2009";"184 Aaron Orchard West Shawnville  AL 51903";"New Matthewport";"Florida";"United States";"South";"Lisa"
"The Harmony Shop";"MBO";"9/16/1989";"Unit 0534 Box 1830 DPO AP 34856";"West Annette";"Idaho";"United States";"West";"Dillon"
"The Shimmer Marvels";"SMB";"1/13/1984";"49697 Joseph Lodge Suite 818 Estradaberg  AZ 95564";"Bryantborough";"Rhode Island";"United States";"Northeast";"Patricia"
"The Vintage Marketplace";"SMB";"10/6/2010";"660 Joseph Plain Lake Tina  DC 85284";"West Benjaminborough";"Illinois";"United States";"Midwest";"Nicholas"
"The Shimmer Elegance";"Outlet Stores";"3/22/2004";"9755 Rachel Road Suite 381 South Annette  NV 60712";"Lake Taylor";"Florida";"United States";"South";"David"
"The Timeless Reflection";"Exclusive";"9/26/2000";"USS Sutton FPO AP 52929";"Castrochester";"Arizona";"United States";"West";"Anthony"
"The Purely & More";"SMB";"9/17/2002";"2577 Jacob Prairie Jonesberg  WA 10960";"Anthonyton";"Florida";"United States";"South";"Jessica"
"The Dapper Essentials";"Exclusive";"12/2/2017";"84011 Tina Brooks Nancyfort  GA 12555";"West Kimberly";"Iowa";"United States";"Midwest";"Brian"
"The Radiant Campany";"SMB";"6/22/2019";"419 Lori Square Karenborough  AL 50556";"West Jeffrey";"Louisiana";"United States";"South";"Russell"
"The Radiant Shop";"Outlet Stores";"1/30/2020";"89124 Miller Forest Apt. 599 Miguelshire  NV 56060";"North Phillip";"New York";"United States";"Northeast";"Edwin"
"The Dapper Boutique";"Outlet Stores";"11/7/1985";"572 Robin Pass Paulville  MS 29094";"North Carlosbury";"South Dakota";"United States";"Midwest";"Megan"
"The Artisan Marketplace";"SMB";"4/13/2009";"22600 Thompson Knoll Apt. 792 Port Briannaberg  WI 32854";"New Sandraton";"Illinois";"United States";"Midwest";"Nathan"
"The Elegant Nook";"MBO";"1/8/1972";"4973 Ashley Street New Hayden  DC 03314";"Shelbyhaven";"Nevada";"United States";"West";"Pamela"
"The Happy Loft";"MBO";"3/8/1975";"23082 Jeffrey Ville Apt. 205 New Jennifer  PW 75084";"Wrightland";"Arkansas";"United States";"South";"Anthony"
"The Enchanted Boutique";"Exclusive";"10/14/1998";"6120 Mckinney Mews Apt. 835 Johnsonmouth  LA 84649";"South Brian";"Texas";"United States";"South";"Michael"
"The Cozy Shoppe";"SMB";"11/23/1990";"28410 Cody Dam Apt. 424 Port Carla  WI 20884";"Pruittland";"Washington";"United States";"West";"David"
"The Majestic Campany";"SMB";"11/23/2010";"9915 Robert Ranch Suite 978 Dannyburgh  GA 71290";"Camposburgh";"Alaska";"United States";"West";"Paul"
"The Purely Oasis";"Exclusive";"5/20/1995";"7876 Sutton Harbors Suite 036 Mackenzieville  DE 90669";"Milesmouth";"Missouri";"United States";"Midwest";"Kathy"
"The Blissful Quest";"MBO";"10/10/1982";"4318 Gonzalez Green South Megan  SD 44399";"Kimberlyport";"Mississippi";"United States";"South";"David"
"The Dapper Creations";"Outlet Stores";"9/14/2012";"677 Long Spurs Martineztown  FM 68563";"Hillville";"Michigan";"United States";"Midwest";"Jeffrey"
"The Harmony Closet";"Exclusive";"12/14/2015";"PSC 9117  Box 8169 APO AE 94296";"West Chelseaview";"Florida";"United States";"South";"Robert"
"The Trendy Creations";"MBO";"3/5/2012";"4885 Butler Keys Williamsshire  GA 92674";"Stephensmouth";"Oregon";"United States";"West";"Mark"
"The Majestic Reflection";"MBO";"9/27/1978";"29552 Tyler Ridge Perryshire  TN 67243";"Samuelfurt";"Oregon";"United States";"West";"Julie"
"The Trendy Deals";"Exclusive";"3/2/2005";"8817 Morris Course Apt. 813 Port Edward  OK 85446";"Josephchester";"Michigan";"United States";"Midwest";"Alexandria"
"The Artisan Vault";"SMB";"12/12/2002";"61726 Rachel Trafficway Apt. 443 Pierceside  MP 15720";"Mcneilmouth";"Wyoming";"United States";"West";"Lisa"
"The Shimmer Marvels";"Outlet Stores";"9/21/2017";"07332 Little Fort Lake John  AR 94952";"West David";"West Virginia";"United States";"South";"Fernando"
"The Happy Quest";"MBO";"2/4/1978";"7470 Hart Tunnel Suite 516 Heatherton  VI 71990";"East Robertberg";"Tennessee";"United States";"South";"Nicholas"
